product_id,product_category,region,current_price,optimized_price,demand_forecast,inventory_level,manufacturing_cost,supply_chain_cost,profit_margin,optimization_result
447598,Industrial,South America,3150.37,3573.43,7710,4283,615.5,1870.52,1087.41,Unchanged
619516,Energy and Building Technology,Europe,2165.07,2263.31,5437,1134,1362.56,816.19,84.56,Unchanged
959960,Energy and Building Technology,Asia-Pacific,3305.41,3833.16,7871,4371,2993.56,687.12,152.48,Unchanged
491751,Industrial,Africa,3220.71,3207.79,9786,3214,1965.39,1177.07,65.33,Improved
906279,Consumer Goods,Africa,1563.13,1428.19,9141,793,1001.67,1149.35,-722.83,Improved
622432,Automotive,Asia-Pacific,991.94,857.6,3022,2171,495.03,652.85,-290.28,Improved
664739,Industrial,Africa,4186.15,4425.21,6412,2160,103.99,245.02,4076.2,Unchanged
215486,Energy and Building Technology,Africa,790.5,936.76,8125,1750,1810.9,111.07,-985.21,Unchanged
112284,Consumer Goods,Africa,2432.12,2212.62,1221,1630,362.92,112.5,1737.2,Improved
316331,Industrial,Asia-Pacific,3374.44,4033.6,7923,1841,1254.46,1640.8,1138.34,Unchanged
948591,Consumer Goods,South America,3781.74,4219.16,9790,4905,382.31,126.57,3710.28,Unchanged
391308,Energy and Building Technology,North America,2896.06,2603.43,5133,4500,2122.11,453.4,27.92,Improved
209942,Consumer Goods,Africa,2869.09,3222.15,6786,4263,1060.47,391.16,1770.52,Unchanged
503589,Industrial,South America,572.74,547.63,6760,282,1678.87,1636.21,-2767.45,Improved
966739,Consumer Goods,South America,293.73,294.35,2674,2128,433.84,1160.87,-1300.36,Unchanged
612770,Automotive,South America,3765.8,3106.86,2467,1060,2510.06,1702.66,-1105.86,Improved
232523,Energy and Building Technology,South America,1005.21,1116.11,4074,4851,156.83,923.1,36.18,Unchanged
967497,Automotive,Europe,1249.66,1026.97,7993,2526,2980.53,545,-2498.56,Improved
592876,Energy and Building Technology,North America,2088.23,2478.46,8968,1749,2897.35,1533.43,-1952.32,Unchanged
298534,Consumer Goods,North America,1596.11,1746.55,7252,4581,613.24,1919.94,-786.63,Unchanged
743330,Consumer Goods,South America,2952.7,3168.77,5019,1396,2661.45,1374.07,-866.75,Unchanged
462973,Consumer Goods,Asia-Pacific,3988.74,4060.64,7561,3958,495.97,1611.19,1953.48,Unchanged
207038,Consumer Goods,South America,4169.79,3684.82,2533,1301,1081.43,1400.95,1202.44,Improved
176337,Energy and Building Technology,Europe,662.92,736.31,6204,4698,591.95,360.1,-215.74,Unchanged
590295,Industrial,North America,3883.55,3134.75,7451,4983,268.75,1215.43,1650.57,Improved
217333,Industrial,South America,2199.15,1789.06,4633,3344,1838.59,351.47,-401,Improved
458254,Industrial,Europe,3456.58,3185.38,2512,3045,707.72,250.81,2226.85,Improved
444609,Consumer Goods,Africa,4945.72,4048.58,9390,3496,1171.29,1410.61,1466.68,Improved
145701,Industrial,Africa,2201.66,2108.79,3541,1082,453.61,196.58,1458.6,Improved
357810,Energy and Building Technology,North America,2022.91,1728.31,6808,1682,690.38,1088.58,-50.65,Improved
758699,Industrial,Europe,3728.91,3740.92,7940,1726,66.33,610.2,3064.39,Unchanged
398628,Industrial,Europe,2680.61,2968.81,8362,2995,703.31,1824.43,441.07,Unchanged
955046,Automotive,Asia-Pacific,4758.6,4295.11,3635,1838,508.21,811.61,2975.29,Improved
510439,Industrial,Africa,927.62,896.98,8559,625,2792.97,1563.17,-3459.16,Improved
735865,Industrial,Europe,1058.88,1060.36,7979,674,1045.42,107.73,-92.79,Unchanged
641015,Energy and Building Technology,Europe,3717.22,3883.25,4025,2753,511.03,1744.4,1627.82,Unchanged
250697,Automotive,South America,1137.08,1348.7,3559,1922,657.33,777.69,-86.32,Unchanged
970134,Automotive,Asia-Pacific,4682.96,4017.56,6013,2069,2227.98,1391.83,397.75,Improved
179268,Automotive,South America,2787.6,2812.32,9582,2346,2628.72,1482.96,-1299.36,Unchanged
285939,Consumer Goods,North America,3354.16,3055.48,1009,397,2394.38,1848.46,-1187.36,Improved
575702,Energy and Building Technology,South America,4072.33,4266.3,6914,2985,486.86,804.39,2975.05,Unchanged
464660,Energy and Building Technology,Europe,3224.51,3269.4,3771,4568,1849.79,1378.12,41.49,Unchanged
932676,Automotive,North America,1324.77,1089.68,1809,2080,2739.19,1168.53,-2818.04,Improved
665077,Consumer Goods,Europe,1514.26,1778.84,9844,1892,778.05,1117.01,-116.22,Unchanged
889976,Energy and Building Technology,North America,4876.23,4966.24,9970,3479,1189.29,813.17,2963.78,Unchanged
725016,Industrial,Asia-Pacific,3738,4334.79,6018,3497,195.1,1379.45,2760.24,Unchanged
671185,Automotive,Africa,4273.34,3893.39,6198,2537,1977.8,352.16,1563.43,Improved
875678,Automotive,Africa,4905.01,4916.26,2159,4938,2063.53,53.23,2799.5,Unchanged
556134,Industrial,Africa,2245.58,1963.64,7303,2247,1485.81,79.6,398.23,Improved
918318,Energy and Building Technology,South America,4211.06,4376.61,5006,1394,1424.5,536.78,2415.33,Unchanged
612242,Energy and Building Technology,South America,1665.93,1832.51,1556,238,162.74,948.81,720.96,Unchanged
822016,Industrial,Europe,2785.32,2606.35,5409,2073,79.47,1891.11,635.77,Improved
735078,Consumer Goods,Europe,2849.57,2864.56,1655,890,2086.49,1468.47,-690.4,Unchanged
586097,Industrial,North America,3679.02,3687.1,3050,2670,1076.53,1718.34,892.23,Unchanged
181154,Automotive,Europe,2341.93,2024.75,3568,4856,197.64,1155.41,671.7,Improved
666266,Automotive,North America,331.07,323.5,9225,1583,2736.25,727.62,-3140.37,Improved
547816,Industrial,South America,522.9,575.06,8963,2523,1545.5,455.6,-1426.04,Unchanged
547611,Automotive,North America,3443.03,3566.29,1726,4186,182.68,611.41,2772.2,Unchanged
565586,Energy and Building Technology,North America,4273.47,5113.62,8699,1588,2008.72,1179.15,1925.75,Unchanged
808224,Energy and Building Technology,Asia-Pacific,2580.77,2851.03,3787,4327,740.67,429.79,1680.57,Unchanged
370733,Consumer Goods,North America,215.58,257.31,7715,990,342.19,1584.9,-1669.78,Unchanged
817823,Energy and Building Technology,South America,3259.88,3728.25,1483,2234,2434.85,1389.61,-96.21,Unchanged
857464,Consumer Goods,North America,3753.9,3630.5,7433,1868,812.21,1850.86,967.43,Improved
843705,Consumer Goods,Africa,4450.31,4329.28,8172,3407,705.51,967.87,2655.9,Improved
221867,Automotive,South America,3505.97,4197.39,5180,4497,1191.22,795.47,2210.7,Unchanged
358198,Energy and Building Technology,Asia-Pacific,4258.01,3928.08,7421,4014,194.86,245.45,3487.77,Improved
388572,Energy and Building Technology,Africa,4963.96,4413.56,5992,1283,2145.19,335.27,1933.1,Improved
705964,Energy and Building Technology,North America,713.55,806.86,7946,1462,2854.04,1769.42,-3816.6,Unchanged
630455,Consumer Goods,Europe,2187.15,2393.62,6904,4043,1599.27,1846.46,-1052.11,Unchanged
811761,Industrial,Asia-Pacific,4175.26,4282.27,3552,4829,1478.92,1897.54,905.81,Unchanged
653391,Industrial,Asia-Pacific,309.54,303.7,1093,1093,1391.88,396.08,-1484.26,Improved
400843,Consumer Goods,Asia-Pacific,2573.84,2736.86,3725,3742,2795.4,676.05,-734.59,Unchanged
656390,Energy and Building Technology,South America,1470.36,1456.5,9520,3500,676.72,449.02,330.76,Improved
411946,Energy and Building Technology,South America,4942.22,4115.69,8647,4353,2004.99,1310.93,799.77,Improved
686581,Consumer Goods,Asia-Pacific,2294.51,1974.02,8625,2552,1013.55,1655.55,-695.08,Improved
116826,Consumer Goods,Europe,3404.97,3738.52,3636,570,721.68,1868.91,1147.93,Unchanged
997023,Automotive,South America,1539.25,1464.04,6887,4632,1708.59,1550.59,-1795.14,Improved
325442,Energy and Building Technology,Africa,2231.89,2123.18,9993,924,737.68,1801.83,-416.33,Improved
819085,Industrial,South America,4245.55,3778.43,1463,3794,1065.74,1142.21,1570.48,Improved
207605,Automotive,South America,107.13,104.84,1908,4464,756.15,741.23,-1392.54,Improved
402270,Industrial,Europe,2688.54,2392.98,6948,2866,1612.99,1241.53,-461.54,Improved
639686,Industrial,Asia-Pacific,480.81,445.67,4737,2805,904.33,676.64,-1135.3,Improved
347229,Industrial,Asia-Pacific,4166.23,4051.93,1101,1040,1551.09,178.92,2321.92,Improved
546102,Industrial,Africa,251.46,234.3,6493,3313,2674.06,1494.48,-3934.24,Improved
303561,Consumer Goods,Europe,2665.19,2639.39,9754,1941,1065.14,772.51,801.74,Improved
439122,Consumer Goods,South America,2113.47,1844.49,1042,2730,2660.19,1813.03,-2628.73,Improved
582854,Automotive,South America,4723.56,5482.18,3336,4335,1549.95,1018.63,2913.6,Unchanged
460764,Consumer Goods,South America,2312,2585.51,1077,2721,428.77,860.66,1296.08,Unchanged
490626,Automotive,South America,4404.66,4778.59,6592,1289,1500.74,1861.92,1415.93,Unchanged
198624,Consumer Goods,Asia-Pacific,4859.04,5564.97,3745,1076,1512.06,294.8,3758.11,Unchanged
952342,Industrial,Asia-Pacific,4046.25,4831.05,6648,2165,1797.05,497.59,2536.41,Unchanged
215423,Industrial,South America,4940.75,5479.04,9170,2547,1229.46,1527.8,2721.78,Unchanged
908179,Industrial,Europe,3462.97,3977.73,2505,1329,1297.47,568.66,2111.6,Unchanged
597834,Consumer Goods,Asia-Pacific,4842.93,5180.14,1044,1482,1126.32,106.84,3946.98,Unchanged
237491,Energy and Building Technology,South America,488.56,514.56,9628,4391,1235.1,1890.18,-2610.72,Unchanged
441926,Energy and Building Technology,Europe,537.86,550.65,6264,4283,1274.38,309.53,-1033.26,Unchanged
786738,Energy and Building Technology,Asia-Pacific,4458.53,4472.96,6334,4521,186.62,1007.69,3278.65,Unchanged
273629,Automotive,South America,2280.68,2230.1,8398,3955,233.48,1839.91,156.71,Improved
728448,Industrial,North America,4578.28,5297.04,7964,4911,909.8,1313.66,3073.58,Unchanged
583659,Automotive,Europe,1776.4,1700.19,4085,755,967.56,97.31,635.32,Improved
805853,Industrial,Europe,691.57,675.38,7961,2836,2460.53,1429.67,-3214.82,Improved
902724,Consumer Goods,Asia-Pacific,557.94,488.38,2780,4322,2534.29,909.72,-2955.63,Improved
431151,Consumer Goods,South America,2374.2,2487.37,8471,4682,1985.16,476.3,25.91,Unchanged
901830,Industrial,South America,3605.54,2977.07,9719,173,948.54,397.67,1630.86,Improved
995541,Automotive,Africa,2854.59,2851.1,1511,1370,352.89,879.67,1618.54,Improved
370985,Industrial,South America,4117.68,4580.07,8699,2559,1219.4,642.46,2718.21,Unchanged
447437,Industrial,Africa,2317.06,2259.78,7223,873,242.97,1514.19,502.62,Improved
800335,Automotive,North America,4470.65,3807.43,9116,1155,1634.76,60.06,2112.61,Improved
253673,Automotive,North America,4945.09,4072.01,9143,4637,2320.79,1050.92,700.3,Improved
377656,Industrial,Europe,3416.74,3748.57,1124,3342,335.59,263.43,3149.55,Unchanged
426298,Consumer Goods,North America,2936.33,2900.77,1955,3807,599.19,1567.89,733.69,Improved
978543,Energy and Building Technology,North America,4703.78,5586.69,4249,3247,1908.45,735.86,2942.38,Unchanged
137483,Consumer Goods,South America,3660.86,3688.17,9023,1713,2456.15,778.43,453.59,Unchanged
457426,Consumer Goods,Asia-Pacific,2605.96,2864.55,4520,2694,964.12,771.16,1129.27,Unchanged
345765,Consumer Goods,North America,3135.16,3098.82,3338,1181,2622.82,1017.42,-541.42,Improved
676458,Energy and Building Technology,North America,3728.76,4013.09,7581,2825,2628.21,195.94,1188.94,Unchanged
766354,Consumer Goods,North America,1152.92,1165.38,5922,4302,1301.95,188.38,-324.95,Unchanged
921030,Consumer Goods,North America,953.77,874.29,8275,1227,1900.11,958.53,-1984.35,Improved
257232,Industrial,Asia-Pacific,637.26,587.06,2508,313,2173.24,1073.26,-2659.44,Improved
897248,Industrial,Africa,2690.42,2250.82,8302,4911,650.83,379.07,1220.92,Improved
618525,Consumer Goods,North America,1238.3,1051.47,2033,1293,1090.95,686.52,-726,Improved
827648,Industrial,North America,4176.04,3370.45,1732,4494,2098.22,798.1,474.13,Improved
360859,Industrial,South America,1693.29,1456.38,9173,2995,1616.3,1971.41,-2131.33,Improved
163533,Energy and Building Technology,Asia-Pacific,1368.61,1273.55,3586,690,2131.37,1081.93,-1939.75,Improved
110404,Automotive,South America,3048.32,2796.92,7972,3087,2794.73,1111.55,-1109.36,Improved
392469,Industrial,South America,3391.2,3317.14,7487,2320,266.94,578.9,2471.3,Improved
762727,Energy and Building Technology,Europe,3306.72,3694.57,7136,957,1851.98,628,1214.59,Unchanged
282617,Industrial,Africa,4564.86,4283.29,9082,4266,1056.98,1623.29,1603.02,Improved
382439,Automotive,Asia-Pacific,1763.07,1703.05,7380,1392,1768.11,1150.28,-1215.34,Improved
657869,Automotive,South America,3969.62,4754.98,5160,1556,1077.75,57.11,3620.12,Unchanged
625363,Energy and Building Technology,Europe,4267.01,4417.97,4916,180,1373.3,1091.76,1952.91,Unchanged
825929,Consumer Goods,Europe,1033.74,972.85,4216,809,121.81,313.73,537.31,Improved
625311,Energy and Building Technology,Europe,4388.98,4268.43,3118,1412,1122.83,863.28,2282.32,Improved
737899,Consumer Goods,North America,3337.52,2757.92,3910,3555,2694.92,77.99,-14.99,Improved
796924,Energy and Building Technology,Africa,1434.81,1191.04,6401,2434,257.4,1519.79,-586.15,Improved
724541,Automotive,Europe,459.65,502.58,6982,2254,618.61,944.47,-1060.5,Unchanged
516156,Consumer Goods,Africa,4801.76,5594.54,2068,353,1658.29,1058.91,2877.34,Unchanged
397239,Automotive,North America,1957.99,1751.97,4531,4495,2767.04,412.8,-1427.87,Improved
838935,Automotive,Africa,1098.51,1010.78,4969,2832,1920.41,1402.77,-2312.4,Improved
697012,Automotive,Africa,168.77,185.84,1689,4039,2797.57,564.11,-3175.84,Unchanged
989524,Consumer Goods,Africa,1533.63,1367.67,2602,585,1370.04,899.55,-901.92,Improved
470428,Industrial,North America,1469.28,1726.1,3659,2707,1454.09,1424.24,-1152.23,Unchanged
461162,Industrial,Asia-Pacific,2288.21,2306.34,1097,1399,2205.25,252.34,-151.25,Unchanged
839805,Industrial,Asia-Pacific,4085.44,4259.28,2370,2251,708.83,305.67,3244.78,Unchanged
305799,Consumer Goods,Asia-Pacific,1319.96,1319.01,1606,2594,1555.64,249.38,-486.01,Improved
201667,Consumer Goods,Asia-Pacific,2331.41,2686.71,2536,3103,2619.22,1233.39,-1165.9,Unchanged
361053,Energy and Building Technology,North America,2720.2,2998.25,7039,1913,454.65,53.36,2490.24,Unchanged
182677,Consumer Goods,North America,4565.95,5005.24,7679,3142,1403.1,678.08,2924.06,Unchanged
719671,Energy and Building Technology,North America,675.05,765.78,3996,3301,2419.33,955.44,-2608.99,Unchanged
706994,Automotive,Europe,3592.45,4103.61,1785,1081,972.62,526.64,2604.35,Unchanged
819899,Automotive,North America,2186.95,2202.33,5689,4273,890.51,632.21,679.61,Unchanged
285743,Consumer Goods,South America,4767,5369.31,5801,1254,723.37,1704.65,2941.29,Unchanged
977764,Automotive,Asia-Pacific,4387.69,4310.23,7465,2770,1204.51,42.96,3062.76,Improved
883284,Consumer Goods,North America,3026.89,3522.03,2169,1980,220.15,822.32,2479.56,Unchanged
404339,Energy and Building Technology,North America,1335.01,1494.7,4371,4172,1124.83,1718.36,-1348.49,Unchanged
360288,Automotive,Europe,1331.32,1574.27,4320,1812,129.63,1835.7,-391.06,Unchanged
233263,Consumer Goods,South America,3583.59,2875.68,6413,3434,2790.79,1447.1,-1362.21,Improved
711633,Industrial,Africa,1668.57,1861.81,9005,1748,315.9,1087.61,458.3,Unchanged
785626,Automotive,Africa,152.68,166.18,7887,3768,517.3,750.43,-1101.55,Unchanged
790748,Automotive,Europe,2012.73,1620.61,7839,3097,513.17,800.67,306.77,Improved
247050,Industrial,Europe,4127.02,4682.09,8632,2216,629.58,1330.66,2721.85,Unchanged
149241,Consumer Goods,Europe,4579.18,4145.85,2321,4387,2136.72,1138.51,870.62,Improved
764206,Industrial,North America,3395.75,2827.32,3600,358,2816.86,332.96,-322.5,Improved
105481,Automotive,Asia-Pacific,3236.37,3238.69,5754,2239,2568.19,469.52,200.98,Unchanged
280033,Energy and Building Technology,South America,1917.26,2176.35,1937,3055,1769.66,1107.07,-700.38,Unchanged
689031,Industrial,Europe,1366.16,1546.7,6164,2247,672.3,1770.01,-895.61,Unchanged
175162,Energy and Building Technology,Asia-Pacific,3170.74,3804.43,9248,4429,1705.41,157.74,1941.28,Unchanged
958768,Energy and Building Technology,South America,1477.95,1292.05,3789,3336,2819.28,712.69,-2239.92,Improved
498500,Industrial,Europe,2307.95,1948.19,8778,421,2165.8,1234.29,-1451.9,Improved
696463,Consumer Goods,South America,2346.34,2069.71,3439,4940,2115.03,939.99,-985.31,Improved
437928,Industrial,Asia-Pacific,1458.79,1634.83,2935,4008,597.06,1819.13,-781.36,Unchanged
207915,Automotive,Africa,2618.66,3007.51,5776,2549,1382.18,921.82,703.51,Unchanged
686769,Consumer Goods,Africa,110.15,100.6,9533,2840,1303.08,1189.95,-2392.43,Improved
348639,Automotive,North America,552.82,532.4,1427,2365,2155.2,843.92,-2466.72,Improved
590314,Industrial,Europe,391.72,437.58,6284,3835,1214.03,836.47,-1612.92,Unchanged
446494,Energy and Building Technology,Europe,4349.19,4522.65,4009,1577,1997.35,104.96,2420.34,Unchanged
388441,Consumer Goods,North America,2182.66,2342.93,4063,2719,2428.28,68.57,-153.92,Unchanged
792947,Automotive,Europe,1614.09,1583.8,4150,3255,2032.63,1583.81,-2032.64,Improved
891980,Automotive,Africa,4319.94,4144.82,3406,2801,1993.53,1425.51,725.78,Improved
678435,Automotive,Europe,3324.54,3716.54,1769,2443,2408.19,321.96,986.39,Unchanged
654786,Consumer Goods,Africa,3057.57,3591.91,6983,2333,129.11,1600.53,1862.27,Unchanged
710000,Consumer Goods,Asia-Pacific,973.61,940.07,8548,2723,1717.61,993.49,-1771.03,Improved
763511,Automotive,Asia-Pacific,1546.25,1607.48,2992,278,2347.22,263.29,-1003.03,Unchanged
243868,Consumer Goods,Asia-Pacific,2397.97,2262.42,1908,2911,1669.32,1892.55,-1299.45,Improved
636486,Consumer Goods,North America,495.09,584.48,8251,735,2891.98,671.28,-2978.78,Unchanged
334672,Industrial,Asia-Pacific,2183.19,1852.07,6756,4391,383.07,1075.15,393.85,Improved
725003,Automotive,Europe,4341.5,4153.84,3133,1766,1612.67,1120.61,1420.56,Improved
466010,Consumer Goods,Asia-Pacific,191.01,215.31,8996,2750,473.79,1529.28,-1787.76,Unchanged
614301,Energy and Building Technology,North America,3234.35,2740.48,7628,1447,207.16,1833.45,699.87,Improved
599369,Energy and Building Technology,Europe,730.29,768.52,9854,3581,974.68,853.15,-1059.31,Unchanged
535641,Industrial,South America,2660.32,2247.97,6376,3943,452.44,27.48,1768.05,Improved
322847,Consumer Goods,Europe,164.06,166.52,8334,1741,639.52,746.07,-1219.07,Unchanged
817595,Automotive,Africa,4259.82,3608.41,7469,576,2782.14,311.44,514.83,Improved
901277,Consumer Goods,Europe,2170.13,2032.01,9586,4538,1341.04,1449.8,-758.83,Improved
517438,Energy and Building Technology,South America,4151.87,4418.58,4450,4001,2136.05,1306.32,976.21,Unchanged
249938,Consumer Goods,North America,2985.02,3346.84,9285,3216,2900.37,1712.3,-1265.83,Unchanged
349804,Automotive,North America,4771.35,4041.02,9780,412,2346.76,779.69,914.57,Improved
244742,Consumer Goods,Africa,1278.42,1369.18,9557,4755,2540.82,1601.06,-2772.7,Unchanged
306976,Energy and Building Technology,Asia-Pacific,3108.7,3317.14,5146,3158,1896.68,978.54,441.92,Unchanged
369024,Energy and Building Technology,Asia-Pacific,4318.42,3949.56,2980,1745,2228.9,237.09,1483.57,Improved
942723,Energy and Building Technology,Europe,2872.16,2594.09,4286,1427,751.98,1538.96,303.15,Improved
710978,Energy and Building Technology,Africa,4534.94,4840.54,4704,2909,1726.45,905.87,2208.22,Unchanged
200529,Consumer Goods,Africa,2634.91,2314.64,3745,360,585.37,933.66,795.61,Improved
315532,Consumer Goods,North America,3790.83,4097.82,7465,1730,1726.94,737.19,1633.69,Unchanged
691278,Consumer Goods,South America,2841.47,3081.59,8493,400,2243.88,590.88,246.83,Unchanged
719208,Automotive,Europe,123.36,112.3,7352,439,2398.32,585.51,-2871.53,Improved
314060,Consumer Goods,Asia-Pacific,3865.71,4504.34,9643,3423,440.56,546.95,3516.83,Unchanged
959495,Automotive,Europe,3705.58,3943.87,6803,4899,2311.26,1379,253.61,Unchanged
617369,Energy and Building Technology,Europe,733.52,769.21,9630,2540,805.76,1046.13,-1082.68,Unchanged
533948,Consumer Goods,North America,624.05,725.87,1917,1751,316.95,1468.83,-1059.91,Unchanged
194325,Consumer Goods,North America,2298.97,2594.93,9752,3771,715.07,1947.1,-67.24,Unchanged
796258,Consumer Goods,North America,1942.61,2012.9,1388,1723,2119.99,914.21,-1021.3,Unchanged
424831,Automotive,Africa,3818.28,3641.29,3257,4824,93.15,152.8,3395.34,Improved
557763,Consumer Goods,Africa,3920.13,4162.65,9905,1079,1059.75,1276.08,1826.82,Unchanged
510386,Energy and Building Technology,North America,494.47,593.01,3797,987,105.86,1206.31,-719.16,Unchanged
419615,Industrial,North America,3974.8,3546.48,1401,2956,2085.38,1203.87,257.23,Improved
446759,Energy and Building Technology,North America,2587.34,2406.22,5802,3877,2245.53,649.58,-488.89,Improved
627071,Energy and Building Technology,South America,104.12,123.92,7822,1092,990.65,1130.03,-1996.76,Unchanged
737473,Industrial,Europe,2320.81,2510.99,9219,3395,1909.29,517.89,83.81,Unchanged
946708,Consumer Goods,South America,2764.91,3081.65,2785,1224,2905.39,57.64,118.62,Unchanged
223505,Energy and Building Technology,North America,3363.23,2847.22,1323,2646,816.66,1216.24,814.32,Improved
354110,Automotive,Africa,3754.78,3397.63,1160,3367,1046.13,1515.15,836.35,Improved
662728,Consumer Goods,Asia-Pacific,1598.56,1626.63,8862,282,2862.51,808.53,-2044.41,Unchanged
534989,Consumer Goods,North America,3917.83,3699.26,7647,4232,751.93,306.49,2640.84,Improved
252194,Energy and Building Technology,North America,1465.24,1659.97,4022,3828,2924.69,247.33,-1512.05,Unchanged
509681,Energy and Building Technology,Europe,1500.05,1608.25,3239,4105,666.44,1381.16,-439.35,Unchanged
250275,Industrial,North America,4970.44,4431.72,5680,3780,1436,1655.38,1340.34,Improved
865780,Industrial,South America,1684.06,1815.68,1512,3064,2017.16,1388.49,-1589.97,Unchanged
944063,Automotive,North America,2330.27,2471.75,4595,292,1245.44,1066.49,159.82,Unchanged
608305,Energy and Building Technology,South America,1783.16,1476.7,5971,2319,2610.34,1633.52,-2767.16,Improved
891000,Consumer Goods,Europe,2958.74,3009.94,5438,760,1101.18,157.16,1751.6,Unchanged
997654,Consumer Goods,North America,2184.15,1893.35,4228,3032,2188.09,776.05,-1070.79,Improved
805840,Industrial,Africa,3588.92,3317.96,8233,3093,607.75,21.94,2688.27,Improved
737330,Consumer Goods,Europe,2960.12,3161,3740,1616,1423.2,715.67,1022.13,Unchanged
198531,Energy and Building Technology,North America,1011.41,1032.71,6662,2321,811.75,1741.87,-1520.91,Unchanged
627425,Automotive,Africa,3765.68,4026.77,7757,3974,1893.62,1825.78,307.37,Unchanged
249508,Industrial,Europe,2619.01,2497.95,5750,3888,2203.28,1680.45,-1385.78,Improved
884990,Energy and Building Technology,Africa,4990.53,5471.93,7574,1884,2825.75,1517.47,1128.71,Unchanged
780802,Energy and Building Technology,Europe,4902.19,4862.74,1243,180,2772.38,1162.34,928.02,Improved
645184,Automotive,South America,2098.73,2435.04,4278,1201,1575.45,1811.55,-951.96,Unchanged
515423,Consumer Goods,Europe,1139.09,997.85,6815,197,127.66,1128.72,-258.53,Improved
713576,Industrial,Africa,913.12,1087.35,7108,1029,295.36,1700.27,-908.28,Unchanged
997287,Consumer Goods,North America,2651.92,2329.78,1806,1257,1533.64,1853.9,-1057.76,Improved
131073,Industrial,Africa,2934.11,2363.2,5454,2324,2574.78,1137.86,-1349.44,Improved
362481,Industrial,Africa,4986.94,4953.08,9710,2042,291.16,1743.6,2918.32,Improved
